,"('Player',)","('Pass Yds',)","('Yds/Att',)","('Att',)","('Cmp',)","('Cmp %',)","('TD',)","('INT',)","('Rate',)","('1st',)","('1st%',)","('20+',)","('40+',)","('Lng',)","('Sck',)","('SckY',)"
-1,                              Davis Mills,                      2664,                      6.8,                      394,                      263,                      0.668,                      16,                      10,                      88.8,                      118,                      0.299,                      31,                      5,                      67,                      31,                      206
-2,                              Tua Tagovailoa,                      2653,                      6.8,                      388,                      263,                      0.678,                      16,                      10,                      90.1,                      137,                      0.353,                      30,                      6,                      65,                      20,                      152
-3,                              Sam Darnold,                      2527,                      6.2,                      406,                      243,                      0.599,                      9,                      13,                      71.9,                      123,                      0.303,                      30,                      4,                      63,                      35,                      204
-4,                              Daniel Jones,                      2428,                      6.7,                      361,                      232,                      0.643,                      10,                      7,                      84.8,                      116,                      0.321,                      24,                      5,                      54,                      22,                      160
-5,                              Zach Wilson,                      2334,                      6.1,                      383,                      213,                      0.556,                      9,                      11,                      69.7,                      112,                      0.292,                      32,                      5,                      54,                      44,                      370
-6,                              Justin Fields,                      1870,                      6.9,                      270,                      159,                      0.589,                      7,                      10,                      73.2,                      83,                      0.307,                      28,                      4,                      64,                      36,                      264
-7,                              Andy Dalton,                      1515,                      6.4,                      236,                      149,                      0.631,                      8,                      9,                      76.9,                      83,                      0.352,                      11,                      3,                      60,                      18,                      143
-8,                              Jacoby Brissett,                      1283,                      5.7,                      225,                      141,                      0.627,                      5,                      4,                      78.1,                      69,                      0.307,                      15,                      2,                      52,                      18,                      132
-9,                              Jameis Winston,                      1170,                      7.3,                      161,                      95,                      0.59,                      14,                      3,                      102.8,                      56,                      0.348,                      11,                      4,                      72,                      11,                      69
-10,                              Trevor Siemian,                      1154,                      6.1,                      188,                      108,                      0.574,                      11,                      3,                      88.4,                      61,                      0.324,                      15,                      1,                      46,                      9,                      64
-11,                              Tyler Huntley,                      1081,                      5.8,                      188,                      122,                      0.649,                      3,                      4,                      76.6,                      55,                      0.293,                      11,                      1,                      43,                      18,                      107
-12,                              Taysom Hill,                      978,                      7.3,                      134,                      78,                      0.582,                      4,                      5,                      75.4,                      43,                      0.321,                      14,                      2,                      70,                      9,                      64
-13,                              Tyrod Taylor,                      966,                      6.4,                      150,                      91,                      0.607,                      5,                      5,                      76.7,                      44,                      0.293,                      13,                      3,                      52,                      13,                      119
-14,                              Mike White,                      953,                      7.2,                      132,                      88,                      0.667,                      5,                      8,                      75.1,                      49,                      0.371,                      11,                      0,                      28,                      4,                      18
-15,                              Mike Glennon,                      790,                      4.7,                      167,                      90,                      0.539,                      4,                      10,                      49.7,                      43,                      0.257,                      5,                      1,                      60,                      9,                      72
-16,                              Drew Lock,                      787,                      7.1,                      111,                      67,                      0.604,                      2,                      2,                      80.4,                      32,                      0.288,                      13,                      2,                      44,                      9,                      52
-17,                              Colt McCoy,                      740,                      7.5,                      99,                      74,                      0.747,                      3,                      1,                      101.4,                      39,                      0.394,                      11,                      2,                      50,                      6,                      40
-18,                              Geno Smith,                      702,                      7.4,                      95,                      65,                      0.684,                      5,                      1,                      103,                      31,                      0.326,                      11,                      2,                      84,                      13,                      117
-19,                              Cam Newton,                      684,                      5.4,                      126,                      69,                      0.548,                      4,                      5,                      64.4,                      32,                      0.254,                      5,                      1,                      64,                      10,                      83
-20,                              Josh Johnson,                      638,                      7.5,                      85,                      57,                      0.671,                      5,                      2,                      99,                      39,                      0.459,                      5,                      0,                      54,                      3,                      23
-21,                              Trey Lance,                      603,                      8.5,                      71,                      41,                      0.577,                      5,                      2,                      97.3,                      27,                      0.38,                      8,                      3,                      76,                      4,                      15
-22,                              Tim Boyle,                      526,                      5.6,                      94,                      61,                      0.649,                      3,                      6,                      63.5,                      28,                      0.298,                      8,                      1,                      42,                      0,                      0
-23,                              Case Keenum,                      462,                      6.4,                      72,                      47,                      0.653,                      3,                      1,                      91.3,                      25,                      0.347,                      4,                      0,                      34,                      5,                      29
-24,                              Gardner Minshew,                      439,                      7.3,                      60,                      41,                      0.683,                      4,                      1,                      104.8,                      24,                      0.4,                      7,                      0,                      36,                      5,                      31
-25,                              Cooper Rush,                      422,                      9,                      47,                      30,                      0.638,                      3,                      1,                      105.1,                      18,                      0.383,                      5,                      2,                      73,                      3,                      19
