,"('Player',)","('Pass Yds',)","('Yds/Att',)","('Att',)","('Cmp',)","('Cmp %',)","('TD',)","('INT',)","('Rate',)","('1st',)","('1st%',)","('20+',)","('40+',)","('Lng',)","('Sck',)","('SckY',)"
-1,                              C.J. Beathard,                      33,                      16.5,                      2,                      2,                      1,                      0,                      0,                      118.8,                      1,                      0.5,                      1,                      0,                      28,                      0,                      0
-2,                              Kendrick Bourne,                      25,                      25,                      1,                      1,                      1,                      1,                      0,                      158.3,                      1,                      1,                      1,                      0,                      25,                      0,                      0
-3,                              Deebo Samuel,                      24,                      12,                      2,                      1,                      0.5,                      1,                      0,                      133.3,                      1,                      0.5,                      1,                      0,                      24,                      0,                      0
-4,                              Chris Banjo,                      23,                      23,                      1,                      1,                      1,                      0,                      0,                      118.8,                      1,                      1,                      1,                      0,                      23,                      0,                      0
-5,                              Kadarius Toney,                      19,                      9.5,                      2,                      1,                      0.5,                      0,                      0,                      83.3,                      1,                      0.5,                      0,                      0,                      19,                      0,                      0
-6,                              Josh Rosen,                      19,                      1.7,                      11,                      2,                      0.182,                      0,                      2,                      0,                      1,                      0.091,                      0,                      0,                      14,                      0,                      0
-7,                              Tommy Townsend,                      16,                      16,                      1,                      1,                      1,                      0,                      0,                      118.8,                      1,                      1,                      0,                      0,                      16,                      0,                      0
-8,                              Courtland Sutton,                      16,                      16,                      1,                      1,                      1,                      0,                      0,                      118.8,                      1,                      1,                      0,                      0,                      16,                      0,                      0
-9,                              Dante Pettis,                      16,                      16,                      1,                      1,                      1,                      0,                      0,                      118.8,                      1,                      1,                      0,                      0,                      16,                      0,                      0
-10,                              Ryan Fitzpatrick,                      13,                      2.2,                      6,                      3,                      0.5,                      0,                      0,                      56.3,                      0,                      0,                      0,                      0,                      6,                      1,                      2
-11,                              Matthias Farley,                      6,                      6,                      1,                      1,                      1,                      0,                      0,                      91.7,                      1,                      1,                      0,                      0,                      6,                      0,                      0
-12,                              John Wolford,                      5,                      1.3,                      4,                      1,                      0.25,                      0,                      1,                      0,                      0,                      0,                      0,                      0,                      5,                      1,                      8
-13,                              Kellen Mond,                      5,                      1.7,                      3,                      2,                      0.667,                      0,                      0,                      70.1,                      0,                      0,                      0,                      0,                      6,                      0,                      0
-14,                              Derrick Henry,                      5,                      5,                      1,                      1,                      1,                      1,                      0,                      127.1,                      1,                      1,                      0,                      0,                      5,                      0,                      0
-15,                              Marcus Mariota,                      4,                      2,                      2,                      1,                      0.5,                      0,                      0,                      56.3,                      0,                      0,                      0,                      0,                      4,                      0,                      0
-16,                              Ezekiel Elliott,                      4,                      4,                      1,                      1,                      1,                      0,                      0,                      83.3,                      0,                      0,                      0,                      0,                      4,                      0,                      0
-17,                              Greg Ward,                      2,                      1,                      2,                      1,                      0.5,                      0,                      0,                      56.3,                      0,                      0,                      0,                      0,                      2,                      0,                      0
-18,                              Johnny Hekker,                      2,                      2,                      1,                      1,                      1,                      0,                      0,                      79.2,                      0,                      0,                      0,                      0,                      2,                      0,                      0
-19,                              Kendall Hinton,                      1,                      1,                      1,                      1,                      1,                      0,                      0,                      79.2,                      0,                      0,                      0,                      0,                      1,                      0,                      0
